Nom gare;Code Gare;Type jour;Année;Date de comptage;Ligne;Axe;Tranche horaire;Montants
SAINT-LEU D'ESSERENT;87276402;Dimanche;2019;2019-10-13;H;H;De 16h à 20h;21
LES VALLEES;87386300;JOB;2018;2018-03-27;L;L3;De 16h à 20h;1431
MUSEE D'ORSAY;87547307;Samedi;2017;2017-04-22;C;C;Avant 6h;13
SAINT-LEU D'ESSERENT;87276402;JOB;2019;2019-10-10;H;H;De 10h à 16h;33
BOISSY L'AILLERIE;87381152;Dimanche;2016;2016-11-20;J;J6;De 6h à 10h;9
AEROPORT CHARLES DE GAULLE 1;87271460;Dimanche;2019;2019-03-17;B;B;Après 20h;387
BECON LES BRUYERES;87382002;JOB;2019;2019-03-14;L;L2;Après 20h;550
NANTERRE UNIVERSITE;87386318;JOB;2018;2018-03-27;L;L3;De 10h à 16h;2221
NEUILLY PORTE MAILLOT;87381020;JOB;2017;2017-04-25;C;C;De 6h à 10h;2247
BECON LES BRUYERES;87382002;JOB;2019;2019-03-14;L;L2;De 16h à 20h;3040
NANTERRE UNIVERSITE;87386318;JOB;2018;2018-03-27;L;L3;De 6h à 10h;2391
NEUILLY PORTE MAILLOT;87381020;Samedi;2017;2017-04-22;C;C;De 10h à 16h;1042
SAINT-OUEN L'AUMONE LIESSE;87337980;JOB;2019;2019-10-10;H;H;Après 20h;113
PONT CARDINET;87381111;Dimanche;2014;2014-05-18;L;L3;De 10h à 16h;744
PEREIRE LEVALLOIS;87381012;Samedi;2017;2017-04-22;C;C;Avant 6h;2
CLICHY LEVALLOIS;87381129;Dimanche;2019;2019-03-17;L;L2;De 16h à 20h;823
SARTROUVILLE;87386417;Dimanche;2014;2014-05-18;L;L3;De 16h à 20h;181
PEREIRE SAUSSURE;87991111;JOB;2017;2017-04-25;C;C;Après 20h;2
SARCELLES SAINT-BRICE;87276386;Samedi;2019;2019-10-12;H;H;Avant 6h;93
CONFLANS FIN D'OISE;87381459;Samedi;2016;2016-11-19;J;J6;De 10h à 16h;515
AULNAY SOUS BOIS;87271411;Dimanche;2019;2019-03-17;B;B;Avant 6h;149
COURBEVOIE;87382200;Dimanche;2019;2019-03-17;L;L2;De 10h à 16h;1525
CORMEILLES EN PARISIS;87381863;Dimanche;2016;2016-11-20;J;J6;De 16h à 20h;485
DRANCY;87271403;JOB;2019;2019-03-28;B;B;Avant 6h;720
L'ETANG LA VILLE;87382473;JOB;2019;2019-03-14;L;L2;Après 20h;26
BEYNES;87393363;Dimanche;2018;2018-10-14;N;N;Après 20h;7
PETIT JOUY LES LOGES;87393504;Samedi;2017;2017-04-22;C;C;De 16h à 20h;24
VALMONDOIS;87276535;Dimanche;2019;2019-10-13;H;H;De 10h à 16h;376
BEYNES;87393363;JOB;2018;2018-10-16;N;N;De 10h à 16h;62
LA COURNEUVE AUBERVILLIERS;87271304;Dimanche;2019;2019-03-17;B;B;Avant 6h;330
VALMONDOIS;87276535;Samedi;2019;2019-10-12;H;H;Après 20h;47
BEYNES;87393363;Samedi;2018;2018-10-20;N;N;De 6h à 10h;33
PIERRELAYE;87276097;JOB;2017;2017-04-25;C;C;Avant 6h;15
LA DEFENSE GRANDE ARCHE;87382218;JOB;2019;2019-03-14;L;L2;De 10h à 16h;7679
ISSOU PORCHEVILLE;87381574;Dimanche;2016;2016-11-20;J;J6;De 6h à 10h;18
LA PLAINE STADE DE FRANCE;87164798;JOB;2019;2019-04-02;B;B;De 10h à 16h;117
VILLAINES;87272021;JOB;2019;2019-10-10;H;H;De 6h à 10h;127
ISSOU PORCHEVILLE;87381574;JOB;2018;2018-01-23;J;J6;De 16h à 20h;79
LA PLAINE STADE DE FRANCE;87164798;JOB;2019;2019-03-28;B;B;De 16h à 20h;10726
LOUVECIENNES;87382457;JOB;2019;2019-03-14;L;L2;Après 20h;66
COIGNIERES;87393272;Samedi;2018;2018-10-20;N;N;Avant 6h;5
LE BLANC MESNIL;87271478;Dimanche;2019;2019-03-17;B;B;Après 20h;238
VILLAINES;87272021;Samedi;2019;2019-10-12;H;H;De 16h à 20h;16
JUZIERS;87381558;Dimanche;2016;2016-11-20;J;J6;De 10h à 16h;71
PLACE DU CARROUGE;87441111;Samedi;2017;2017-04-22;C;C;De 10h à 16h;6
LOUVECIENNES;87382457;Samedi;2019;2019-03-16;L;L2;De 16h à 20h;231
GARANCIERES LA QUEUE;87393439;Samedi;2018;2018-10-20;N;N;De 10h à 16h;85
LE BLANC MESNIL;87271478;JOB;2019;2019-03-28;B;B;De 16h à 20h;1268
MARLY LE ROI;87382465;Samedi;2019;2019-03-16;L;L2;Avant 6h;24
LA VILLETERTRE;87381202;Samedi;2016;2016-11-19;J;J6;De 6h à 10h;11
PLACE DU CARROUGE;87441111;Samedi;2017;2017-04-22;C;C;De 6h à 10h;4
ASNIERES SUR SEINE;87381137;JOB;2019;2019-03-14;J;J4;Après 20h;985
LIMAY;87381582;JOB;2018;2018-01-23;J;J6;De 16h à 20h;259
PLACE DU GENERAL LECLERC;87221111;JOB;2017;2017-04-25;C;C;Avant 6h;19
ASNIERES SUR SEINE;87381137;Samedi;2019;2019-03-16;J;J4;De 10h à 16h;2737
MANTES LA JOLIE;87381509;JOB;2018;2018-01-23;J;J6;De 6h à 10h;303
PONT CARDINET;87381111;JOB;2017;2017-04-25;C;C;Après 20h;0
COLOMBES;87381087;Dimanche;2019;2019-03-17;J;J4;De 10h à 16h;2174
LES ESSARTS LE ROI;87393280;Samedi;2018;2018-10-20;N;N;De 6h à 10h;143
MITRY CLAYE;87271528;Samedi;2019;2019-03-16;B;B;Après 20h;227
PARIS SAINT-LAZARE;87384008;Samedi;2019;2019-03-16;J;J4;Avant 6h;130
MANTES LA JOLIE;87381509;Samedi;2016;2016-11-19;J;J6;De 10h à 16h;386
PONT DE L'ALMA;87393041;JOB;2017;2017-04-25;C;C;De 10h à 16h;1680
SAINT-CLOUD;87382358;JOB;2019;2019-03-14;L;L2;De 16h à 20h;5156
MANTES LA JOLIE;87381509;Samedi;2018;2018-10-20;N;N;Avant 6h;25
PARC DES EXPOSITIONS;87271486;JOB;2019;2019-03-28;B;B;De 6h à 10h;512
SANNOIS;87276188;Samedi;2019;2019-03-16;J;J4;De 6h à 10h;773
MEUDON;87393108;Dimanche;2018;2018-10-14;N;N;De 6h à 10h;95
PONT DE L'ALMA;87393041;Samedi;2017;2017-04-22;C;C;De 10h à 16h;1650
SURESNES MONT VALERIEN;87382374;Samedi;2019;2019-03-16;L;L2;Avant 6h;11
MAURECOURT;87381483;Dimanche;2016;2016-11-20;J;J6;De 6h à 10h;25
PARIS NORD;87271031;JOB;2019;2019-03-28;B;B;Après 20h;10253
VERSAILLES RIVE DROITE;87382861;JOB;2019;2019-03-14;L;L2;Avant 6h;62
MAURECOURT;87381483;Samedi;2016;2016-11-19;J;J6;De 6h à 10h;148
PONT DU GARIGLIANO - HOPITAL EUROPEEN GEORGES POMPIDOU;87393322;JOB;2017;2017-04-25;C;C;De 10h à 16h;1016
BECON LES BRUYERES;87382002;Samedi;2014;2014-05-17;L;L3;Après 20h;587
PARIS MONTPARNASSE;87391003;Dimanche;2018;2018-10-14;N;N;De 6h à 10h;1619
PARIS NORD;87271031;Samedi;2019;2019-03-16;B;B;De 16h à 20h;34952
BECON LES BRUYERES;87382002;Samedi;2014;2014-05-17;L;L3;Avant 6h;40
RAMBOUILLET;87393314;Dimanche;2018;2018-10-14;N;N;Après 20h;52
PONTOISE;87276139;Samedi;2017;2017-04-22;C;C;De 16h à 20h;326
CLICHY LEVALLOIS;87381129;Dimanche;2014;2014-05-18;L;L3;Après 20h;433
SAINT-CYR;87393223;Dimanche;2018;2018-10-14;N;N;De 16h à 20h;468
SEVRAN BEAUDOTTES;87271445;JOB;2019;2019-03-28;B;B;De 6h à 10h;5302
PARIS SAINT-LAZARE;87384008;Samedi;2016;2016-11-19;J;J5;Après 20h;2705
SAINT-CYR;87393223;Samedi;2018;2018-10-20;N;N;Après 20h;280
SEVRAN LIVRY;87271429;JOB;2019;2019-03-28;B;B;Avant 6h;456
CLICHY LEVALLOIS;87381129;Samedi;2014;2014-05-17;L;L3;Avant 6h;55
SAINT-QUENTIN EN YVELINES;87393843;JOB;2018;2018-10-16;N;N;Avant 6h;50
SEVRAN LIVRY;87271429;Samedi;2019;2019-03-16;B;B;De 16h à 20h;1390
LA GARENNE COLOMBES;87386003;JOB;2018;2018-03-27;L;L3;Après 20h;365
SEVRES RIVE GAUCHE;87393124;Dimanche;2018;2018-10-14;N;N;De 6h à 10h;57
PORTE DE CLICHY;87111278;JOB;2017;2017-04-25;C;C;Après 20h;466
VILLENNES SUR SEINE;87386649;Samedi;2016;2016-11-19;J;J5;De 10h à 16h;266
SANTEUIL LE PERCHAY;87381186;Samedi;2016;2016-11-19;J;J6;De 16h à 20h;5
RUNGIS LA FRATERNELLE;87546291;Samedi;2017;2017-04-22;C;C;Après 20h;32
ANDRESY;87381491;Dimanche;2016;2016-11-20;J;J6;Avant 6h;3
SEVRES RIVE GAUCHE;87393124;Samedi;2018;2018-10-20;N;N;De 6h à 10h;185
RUNGIS LA FRATERNELLE;87546291;Samedi;2017;2017-04-22;C;C;De 16h à 20h;170
LES VALLEES;87386300;Samedi;2014;2014-05-17;L;L3;De 6h à 10h;736
TRIE CHATEAU;87381236;JOB;2018;2018-01-23;J;J6;De 10h à 16h;8
SAINT-CYR;87393223;JOB;2017;2017-04-25;C;C;De 10h à 16h;215
ARGENTEUIL;87381848;Samedi;2016;2016-11-19;J;J6;Après 20h;1050
TRAPPES;87393835;Dimanche;2018;2018-10-14;N;N;De 10h à 16h;693
SAINT-GRATIEN;87276170;JOB;2017;2017-04-25;C;C;De 10h à 16h;1068
NANTERRE UNIVERSITE;87386318;Samedi;2014;2014-05-17;L;L3;De 6h à 10h;382
TRAPPES;87393835;JOB;2018;2018-10-16;N;N;De 16h à 20h;578
SAINT-GRATIEN;87276170;Samedi;2017;2017-04-22;C;C;De 16h à 20h;522
CHANTELOUP LES VIGNES;87381475;Dimanche;2016;2016-11-20;J;J6;Après 20h;13
VANVES MALAKOFF;87391532;Samedi;2018;2018-10-20;N;N;Après 20h;178
ABLON;87545269;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;93
CHANTELOUP LES VIGNES;87381475;JOB;2018;2018-01-30;J;J6;De 6h à 10h;214
VAL D'ARGENTEUIL;87381798;JOB;2018;2018-01-23;J;J6;De 6h à 10h;455
SAINT-MARTIN D'ETAMPES;87545350;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;170
BELLEVUE;87393116;Dimanche;2018;2018-10-14;N;N;De 6h à 10h;82
VERSAILLES CHANTIERS;87393009;Samedi;2018;2018-10-20;N;N;De 10h à 16h;3865
AMPERE WAGRAM;87771111;Samedi;2017;2017-04-22;C;C;De 16h à 20h;0
BELLEVUE;87393116;JOB;2018;2018-10-16;N;N;De 16h à 20h;929
VAUX SUR SEINE;87381814;JOB;2018;2018-01-23;J;J6;Après 20h;17
ARPAJON;87545467;JOB;2017;2017-04-25;C;C;Après 20h;91
CHAVILLE RIVE GAUCHE;87393207;JOB;2018;2018-10-16;N;N;Avant 6h;12
AULNAY SOUS BOIS;87271411;Dimanche;2019;2019-03-17;K;K;Après 20h;28
SAINT-OUEN;87271247;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;488
HERBLAY;87381889;JOB;2018;2018-01-23;J;J6;De 10h à 16h;1077
VIROFLAY RIVE GAUCHE;87393215;JOB;2018;2018-10-16;N;N;De 16h à 20h;2271
SAINT-OUEN L'AUMONE;87276105;Dimanche;2017;2017-04-23;C;C;Avant 6h;5
CLAMART;87391565;Dimanche;2018;2018-10-14;N;N;De 16h à 20h;417
CREPY EN VALOIS;87271593;JOB;2019;2019-03-14;K;K;De 16h à 20h;133
ATHIS MONS;87545251;Samedi;2017;2017-04-22;C;C;De 10h à 16h;619
CLAMART;87391565;JOB;2018;2018-10-16;N;N;Après 20h;142
CHAMPBENOIST POIGNY;87115873;JOB;2019;2019-05-14;P;P;Avant 6h;70
SAINT-OUEN L'AUMONE LIESSE;87337980;Samedi;2017;2017-04-22;C;C;De 6h à 10h;85
ISSOU PORCHEVILLE;87381574;JOB;2018;2018-01-23;J;J6;Après 20h;14
CHAMPBENOIST POIGNY;87115873;JOB;2019;2019-05-16;P;P;De 16h à 20h;61
SAINT-QUENTIN EN YVELINES;87393843;Samedi;2017;2017-04-22;C;C;Avant 6h;39
ISSOU PORCHEVILLE;87381574;JOB;2018;2018-01-23;J;J6;De 6h à 10h;121
CHANGIS SAINT-JEAN;87116509;JOB;2019;2019-05-14;P;P;De 10h à 16h;62
AVENUE HENRI MARTIN;87381046;JOB;2017;2017-04-25;C;C;De 16h à 20h;564
GARANCIERES LA QUEUE;87393439;Samedi;2018;2018-10-20;N;N;Après 20h;13
LE PLESSIS BELLEVILLE;87271551;Dimanche;2019;2019-03-17;K;K;Après 20h;12
BIEVRES;87393546;Samedi;2017;2017-04-22;C;C;De 10h à 16h;113
LIANCOURT SAINT PIERRE;87381210;Dimanche;2016;2016-11-20;J;J6;Après 20h;0
NANTEUIL LE HAUDOIN;87271577;Dimanche;2019;2019-03-17;K;K;De 16h à 20h;38
BOURAY;87545178;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;140
LA VERRIERE;87393256;Dimanche;2018;2018-10-14;N;N;De 6h à 10h;148
NANTEUIL LE HAUDOIN;87271577;Dimanche;2019;2019-03-17;K;K;De 6h à 10h;12
SAVIGNY SUR ORGE;87545236;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;1865
MANTES STATION;87381590;JOB;2018;2018-01-23;J;J6;Après 20h;25
ORMOY VILLERS;87271585;Dimanche;2019;2019-03-17;K;K;De 6h à 10h;1
BOURAY;87545178;Dimanche;2017;2017-04-23;C;C;De 6h à 10h;48
MEUDON;87393108;Dimanche;2018;2018-10-14;N;N;De 10h à 16h;396
ORMOY VILLERS;87271585;JOB;2019;2019-03-14;K;K;Avant 6h;2
BOURAY;87545178;JOB;2017;2017-04-25;C;C;De 16h à 20h;657
MANTES STATION;87381590;JOB;2018;2018-01-30;J;J6;De 6h à 10h;27
THIEUX NANTOUILLET;87272054;JOB;2019;2019-03-14;K;K;Après 20h;1
SAVIGNY SUR ORGE;87545236;Samedi;2017;2017-04-22;C;C;De 10h à 16h;3071
MAURECOURT;87381483;Dimanche;2016;2016-11-20;J;J6;Avant 6h;5
THIEUX NANTOUILLET;87272054;Samedi;2019;2019-03-16;K;K;Après 20h;0
SAVIGNY SUR ORGE;87545236;Samedi;2017;2017-04-22;C;C;De 6h à 10h;1496
MONTFORT L'AMAURY MERE;87393892;JOB;2018;2018-10-16;N;N;Après 20h;15
COUILLY SAINT-GERMAIN QUINCY;87116731;JOB;2019;2019-05-14;P;P;Après 20h;2
BRETIGNY;87545194;JOB;2017;2017-04-25;C;C;Avant 6h;336
NEZEL AULNAY;87381731;Samedi;2018;2018-10-20;N;N;De 10h à 16h;37
MAREIL MARLY;87382812;Dimanche;2016;2016-03-13;L;GCO;De 16h à 20h;5
SERMAISE;87545517;Samedi;2017;2017-04-22;C;C;De 16h à 20h;22
ORGERUS BEHOUST;87393447;Samedi;2018;2018-10-20;N;N;De 16h à 20h;57
COULOMMIERS;87116301;Samedi;2019;2019-05-11;P;P;De 10h à 16h;29
BREUILLET BRUYERES LE CHATEL;87545483;Dimanche;2017;2017-04-23;C;C;Avant 6h;4
MEULAN HARDRICOURT;87381830;JOB;2018;2018-01-30;J;J6;De 6h à 10h;86
NOISY LE ROI;87393876;JOB;2016;2016-03-15;L;GCO;De 16h à 20h;78
BRIGEOLLET;87111111;JOB;2017;2017-04-25;C;C;De 6h à 10h;7
PLAISIR GRIGNON;87393421;JOB;2018;2018-10-16;N;N;De 6h à 10h;3071
NOISY LE ROI;87393876;Samedi;2016;2016-03-12;L;GCO;De 16h à 20h;65
VAUBOYEN;87393538;Samedi;2017;2017-04-22;C;C;Avant 6h;2
MONTGEROULT COURCELLES;87381160;JOB;2018;2018-01-23;J;J6;Après 20h;0
CRECY LA CHAPELLE;87116772;Samedi;2019;2019-05-11;P;P;De 16h à 20h;33
VAUBOYEN;87393538;Samedi;2017;2017-04-22;C;C;De 10h à 16h;56
RAMBOUILLET;87393314;Dimanche;2018;2018-10-14;N;N;De 10h à 16h;321
SAINT-GERMAIN EN LAYE GRANDE CEINTURE;87382804;JOB;2016;2016-03-15;L;GCO;Avant 6h;1
CERNAY;87276063;JOB;2017;2017-04-25;C;C;Après 20h;92
RAMBOUILLET;87393314;Dimanche;2018;2018-10-14;N;N;De 6h à 10h;127
ESBLY;87116327;Samedi;2019;2019-03-15;P;P;Après 20h;116
VERSAILLES CHANTIERS;87393009;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;724
PARIS SAINT-LAZARE;87384008;JOB;2018;2018-01-30;J;J6;De 10h à 16h;488
BOUGIVAL;87382440;JOB;2019;2019-03-14;L;L2;Après 20h;49
VILLENEUVE LE ROI;87545277;Dimanche;2017;2017-04-23;C;C;Après 20h;74
PARIS SAINT-LAZARE;87384008;Samedi;2016;2016-11-19;J;J6;De 16h à 20h;9103
ISLES ARMENTIERES CONGIS;87116616;JOB;2019;2019-05-14;P;P;De 6h à 10h;112
CHAVILLE VELIZY;87393173;JOB;2017;2017-04-25;C;C;De 16h à 20h;568
SAINT-CYR;87393223;Samedi;2018;2018-10-20;N;N;Avant 6h;23
CHAVILLE RIVE DROITE;87382333;Dimanche;2019;2019-03-17;L;L2;De 10h à 16h;629
BALLANCOURT;87681437;JOB;2019;2019-03-26;D;D;Après 20h;15
PONTOISE;87276139;Samedi;2016;2016-11-19;J;J6;Après 20h;197
JOUY SUR MORIN EUSTACHE;87430900;Dimanche;2019;2019-05-12;P;P;Après 20h;1
CHEMIN D'ANTONY;87546317;Dimanche;2017;2017-04-23;C;C;De 10h à 16h;69
SAINT-OUEN L'AUMONE QUARTIER DE L'EGLISE;87381426;Samedi;2016;2016-11-19;J;J6;De 16h à 20h;127
CLICHY LEVALLOIS;87381129;Samedi;2019;2019-03-16;L;L2;Après 20h;666
BOIGNEVILLE;87684407;Dimanche;2019;2019-03-24;D;D;De 16h à 20h;21
SANTEUIL LE PERCHAY;87381186;JOB;2018;2018-01-23;J;J6;De 16h à 20h;2
LA FERTE MILON;87116673;Dimanche;2019;2019-05-19;P;P;De 10h à 16h;7
CHILLY MAZARIN;87393637;Samedi;2017;2017-04-22;C;C;Après 20h;98
SEVRES RIVE GAUCHE;87393124;Samedi;2018;2018-10-20;N;N;Après 20h;195
LA FERTE SOUS JOUARRE;87116517;Samedi;2019;2019-05-11;P;P;De 10h à 16h;673
CHILLY MAZARIN;87393637;Samedi;2017;2017-04-22;C;C;De 16h à 20h;182
TACOIGNIERES RICHEBOURG;87393454;Samedi;2018;2018-10-20;N;N;De 10h à 16h;45
LAGNY THORIGNY;87116319;Samedi;2019;2019-03-15;P;P;De 10h à 16h;1553
CHOISY LE ROI;87545285;Dimanche;2017;2017-04-23;C;C;Avant 6h;79
VAL D'ARGENTEUIL;87381798;Dimanche;2016;2016-11-20;J;J6;De 6h à 10h;867
LIZY SUR OURCQ;87116632;Dimanche;2019;2019-05-12;P;P;Après 20h;22
BOUTIGNY;87681478;Dimanche;2019;2019-03-24;D;D;Après 20h;5
VERSAILLES CHANTIERS;87393009;Dimanche;2018;2018-10-14;N;N;De 16h à 20h;2837
L'ETANG LA VILLE;87382473;Samedi;2019;2019-03-16;L;L2;De 10h à 16h;157
CHOISY LE ROI;87545285;Samedi;2017;2017-04-22;C;C;Avant 6h;165
VERSAILLES CHANTIERS;87393009;JOB;2018;2018-10-18;N;N;De 16h à 20h;2854
LA CELLE SAINT-CLOUD;87382432;Dimanche;2019;2019-03-17;L;L2;De 16h à 20h;319
BUNO GIRONVILLE;87681510;JOB;2019;2019-03-26;D;D;De 16h à 20h;16
VERSAILLES CHANTIERS;87393009;Samedi;2018;2018-10-20;N;N;De 6h à 10h;1088
LA CELLE SAINT-CLOUD;87382432;JOB;2019;2019-03-14;L;L2;De 10h à 16h;929
BUNO GIRONVILLE;87681510;JOB;2019;2019-03-26;D;D;De 6h à 10h;78
AULNAY SOUS BOIS;87271411;JOB;2019;2019-03-14;K;K;Après 20h;50
MAREUIL SUR OURCQ;87116665;Dimanche;2019;2019-05-19;P;P;De 10h à 16h;6
CHANTILLY GOUVIEUX;87276113;Dimanche;2019;2019-03-24;D;D;De 16h à 20h;181
AULNAY SOUS BOIS;87271411;Samedi;2019;2019-03-16;K;K;De 16h à 20h;158
LA DEFENSE GRANDE ARCHE;87382218;JOB;2019;2019-03-14;L;L2;Avant 6h;110
CHATELET LES HALLES;87758607;Samedi;2019;2019-03-23;D;D;Après 20h;8295
COMPANS;87272047;Dimanche;2019;2019-03-17;K;K;De 16h à 20h;8
LA DEFENSE GRANDE ARCHE;87382218;Samedi;2019;2019-03-16;L;L2;De 16h à 20h;6799
COMBS LA VILLE QUINCY;87682146;JOB;2019;2019-03-26;D;D;Après 20h;229
CREPY EN VALOIS;87271593;Dimanche;2019;2019-03-17;K;K;De 16h à 20h;124
MAREUIL SUR OURCQ;87116665;Samedi;2019;2019-05-11;P;P;De 16h à 20h;1
COMBS LA VILLE QUINCY;87682146;Samedi;2019;2019-03-23;D;D;Avant 6h;58
DAMMARTIN JUILLY SAINT-MARD;87271536;Dimanche;2019;2019-03-17;K;K;De 10h à 16h;20
MARLES EN BRIE;87116228;Dimanche;2019;2019-03-16;P;P;Après 20h;20
CORBEIL ESSONNES;87681007;JOB;2019;2019-03-26;D;D;Après 20h;1145
DAMMARTIN JUILLY SAINT-MARD;87271536;JOB;2019;2019-03-14;K;K;Avant 6h;41
MARLES EN BRIE;87116228;Samedi;2019;2019-03-15;P;P;De 6h à 10h;53
CORBEIL ESSONNES;87681007;Samedi;2019;2019-03-23;D;D;De 10h à 16h;4032
DAMMARTIN JUILLY SAINT-MARD;87271536;Samedi;2019;2019-03-16;K;K;Après 20h;9
MARLY LE ROI;87382465;JOB;2019;2019-03-14;L;L2;De 6h à 10h;2075
CREIL;87276006;Dimanche;2019;2019-03-24;D;D;De 10h à 16h;299
CHANGIS SAINT-JEAN;87116509;Samedi;2019;2019-05-11;P;P;De 16h à 20h;50
PONT CARDINET;87381111;Dimanche;2019;2019-03-17;L;L2;De 16h à 20h;619
CREIL;87276006;JOB;2019;2019-03-26;D;D;De 10h à 16h;222
MITRY CLAYE;87271528;Samedi;2019;2019-03-16;K;K;De 6h à 10h;127
PUTEAUX;87382382;Dimanche;2019;2019-03-17;L;L2;De 6h à 10h;220
CRETEIL POMPADOUR;87608802;Dimanche;2019;2019-03-24;D;D;Après 20h;948
CHATEAU THIERRY;87116582;JOB;2019;2019-05-14;P;P;Après 20h;56
PARIS EST;87113001;JOB;2019;2019-05-14;P;P;De 6h à 10h;852
FRANCONVILLE LE PLESSIS BOUCHARD;87276071;Samedi;2017;2017-04-22;C;C;Avant 6h;49
CHELLES GOURNAY;87116111;Dimanche;2019;2019-03-16;P;P;De 6h à 10h;576
SURESNES MONT VALERIEN;87382374;Dimanche;2019;2019-03-17;L;L2;De 16h à 20h;432
GENNEVILLIERS;87271205;JOB;2017;2017-04-25;C;C;Avant 6h;54
ORMOY VILLERS;87271585;JOB;2019;2019-03-14;K;K;De 6h à 10h;37
PROVINS;87116160;JOB;2019;2019-05-16;P;P;De 16h à 20h;194
EVRY COURCOURONNES CENTRE;87681387;Samedi;2019;2019-03-23;D;D;De 6h à 10h;1802
CHEZY SUR MARNE;87116574;JOB;2019;2019-05-14;P;P;De 16h à 20h;10
SURESNES MONT VALERIEN;87382374;Samedi;2019;2019-03-16;L;L2;De 6h à 10h;258
GRAVIGNY BALIZY;87393645;JOB;2017;2017-04-25;C;C;Avant 6h;17
NOISY LE ROI;87393876;JOB;2016;2016-03-15;L;GCO;De 10h à 16h;56
PROVINS;87116160;JOB;2019;2019-05-14;P;P;De 6h à 10h;467
GRAVIGNY BALIZY;87393645;Samedi;2017;2017-04-22;C;C;Avant 6h;0
SAINT-GERMAIN EN LAYE BEL AIR FOURQUEUX;87366922;Dimanche;2016;2016-03-13;L;GCO;De 10h à 16h;67
SAINT-REMY LA VANNE;87116376;Samedi;2019;2019-05-11;P;P;De 10h à 16h;6
IGNY;87393561;Samedi;2017;2017-04-22;C;C;De 16h à 20h;105
CROUY SUR OURCQ;87116640;Dimanche;2019;2019-05-12;P;P;De 16h à 20h;64
TOURNAN;87116210;Dimanche;2019;2019-03-16;P;P;Après 20h;69
GARGES SARCELLES;87276196;Samedi;2019;2019-03-23;D;D;Avant 6h;621
CROUY SUR OURCQ;87116640;Samedi;2019;2019-05-11;P;P;Avant 6h;4
BECON LES BRUYERES;87382002;Samedi;2014;2014-05-17;L;L3;De 6h à 10h;579
ISSY;87393074;Dimanche;2017;2017-04-23;C;C;De 16h à 20h;385
ESBLY;87116327;JOB;2019;2019-03-13;P;P;Après 20h;94
TRILPORT;87116491;Dimanche;2019;2019-05-12;P;P;Après 20h;55
JUVISY;87545244;Samedi;2019;2019-03-23;D;D;Après 20h;5842
ESBLY;87116327;JOB;2019;2019-05-14;P;P;Après 20h;48
TRILPORT;87116491;Samedi;2019;2019-05-11;P;P;Après 20h;82
JAVEL;87393066;Dimanche;2017;2017-04-23;C;C;Avant 6h;5
FAREMOUTIERS POMMEUSE;87116277;Dimanche;2019;2019-03-16;P;P;De 6h à 10h;20
CLICHY LEVALLOIS;87381129;Dimanche;2014;2014-05-18;L;L3;Avant 6h;24
JUVISY;87545244;JOB;2017;2017-04-25;C;C;Avant 6h;710
JOUY SUR MORIN CHAMPGOULIN;87430918;Dimanche;2019;2019-05-12;P;P;De 6h à 10h;0
CLICHY LEVALLOIS;87381129;Dimanche;2014;2014-05-18;L;L3;De 16h à 20h;893
LE COUDRAY MONTCEAUX;87681635;Samedi;2019;2019-03-23;D;D;De 10h à 16h;30
JOUY SUR MORIN CHAMPGOULIN;87430918;Samedi;2019;2019-05-11;P;P;De 10h à 16h;1
TRILPORT;87116491;Samedi;2019;2019-05-11;P;P;De 6h à 10h;236
LES ARDOINES;87492108;Samedi;2017;2017-04-22;C;C;De 16h à 20h;674
LA FERTE MILON;87116673;Samedi;2019;2019-05-11;P;P;Avant 6h;7
HOUILLES CARRIERES SUR SEINE;87386409;JOB;2018;2018-03-27;L;L3;De 6h à 10h;2384
LES GRESILLONS;87272146;JOB;2017;2017-04-25;C;C;De 10h à 16h;698
GARCHES MARNES LA COQUETTE;87382259;JOB;2019;2019-03-14;L;L2;Avant 6h;21
VAIRES TORCY;87116293;Dimanche;2019;2019-03-16;P;P;De 16h à 20h;457
LES NOUES;87276238;JOB;2019;2019-03-26;D;D;Avant 6h;182
GARCHES MARNES LA COQUETTE;87382259;Samedi;2019;2019-03-16;L;L2;Après 20h;173
HOUILLES CARRIERES SUR SEINE;87386409;Samedi;2014;2014-05-17;L;L3;De 6h à 10h;298
LES NOUES;87276238;Samedi;2019;2019-03-23;D;D;De 16h à 20h;332
LAGNY THORIGNY;87116319;Dimanche;2019;2019-03-16;P;P;Avant 6h;38
VAIRES TORCY;87116293;JOB;2019;2019-03-13;P;P;De 16h à 20h;657
MAROLLES EN HUREPOIX;87545186;Samedi;2017;2017-04-22;C;C;Après 20h;20
L'ETANG LA VILLE;87382473;JOB;2019;2019-03-14;L;L2;De 16h à 20h;150
LES VALLEES;87386300;Samedi;2014;2014-05-17;L;L3;Avant 6h;38
LIEUSAINT MOISSY;87682153;Dimanche;2019;2019-03-24;D;D;Avant 6h;53
LA CELLE SAINT-CLOUD;87382432;JOB;2019;2019-03-14;L;L2;Après 20h;143
VILLIERS MONTBARBIN;87116749;JOB;2019;2019-05-14;P;P;De 6h à 10h;57
